method,problem,timeout,seed
minizinc,7,3,
minizinc,7,6,
minizinc,7,9,
minizinc,7,12,
minizinc,7,15,
minizinc,7,18,
minizinc,7,21,
minizinc,7,24,
minizinc,7,27,
minizinc,7,30,
local,7,3,752583961
local,7,6,-337213449
local,7,9,881798424
local,7,12,783487156
local,7,15,-70966414
local,7,18,130380323
local,7,21,872759220
local,7,24,654614125
local,7,27,196155343
local,7,30,175921430
