method,problem,timeout,seed
minizinc,1,10,
minizinc,2,10,
minizinc,3,10,
minizinc,4,10,
minizinc,5,10,
minizinc,6,100,
minizinc,7,1000,
minizinc,8,1000,
minizinc,9,1000,
minizinc,10,1000,
