method,problem,timeout,seed
local,1,1,1234 
local,2,1,1234 
local,3,1,1234 
local,4,1,1234 
local,5,2,1234 
local,6,3,1234 
local,7,14,1234 
local,8,568,1234 
local,9,1000,1234 
local,10,1000,1234 
