method,problem,timeout,seed,known_optimal,all_assigned,feasible,time,utilisation,bandwidth,residency,coresidency,qos,freecycles,solution
local,7,3,599508542,False,True,True,3.0049262046813965,1.0,1.0,1.0,1.0,0.27749999999999997,0.32857142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P2'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q50-U41-R:', 'P4'), ('T13-Q10-U25-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q70-U39-R:', 'P4'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q100-U66-R:', 'P2'), ('T19-Q65-U39-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q70-U39-R:', 'P1'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,7,6,-731064254,False,True,True,6.002054929733276,1.0,1.0,1.0,1.0,0.36749999999999994,0.21142857142857144,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P2'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q20-U19-R:', 'P3'), ('T13-Q100-U50-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P4'), ('T16-Q100-U59-R:', 'P1'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q50-U41-R:', 'P4'), ('T19-Q65-U39-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P3'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,7,9,662957564,False,True,True,9.00444507598877,1.0,1.0,1.0,1.0,0.3424999999999999,0.20285714285714285,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q70-U39-R:', 'P3'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q65-U39-R:', 'P2'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q100-U59-R:', 'P4'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q100-U66-R:', 'P1'), ('T19-Q65-U39-R:', 'P2'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q20-U17-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q65-U39-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
local,7,12,48317464,False,True,True,12.000338077545166,1.0,1.0,1.0,1.0,0.35999999999999993,0.1357142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P1'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q100-U50-R:', 'P3'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P4'), ('T16-Q70-U39-R:', 'P4'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q100-U66-R:', 'P2'), ('T19-Q10-U25-R:', 'P3'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q10-U25-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,7,15,-993502926,False,True,True,15.004016876220703,1.0,1.0,1.0,1.0,0.3399999999999999,0.22428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P1'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q50-U41-R:', 'P3'), ('T13-Q100-U50-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P3'), ('T16-Q100-U59-R:', 'P2'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q100-U66-R:', 'P1'), ('T19-Q10-U25-R:', 'P3'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P4'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,7,18,-964588915,False,True,True,17.99927282333374,1.0,1.0,1.0,1.0,0.36999999999999994,0.22,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P4'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q100-U50-R:', 'P3'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P4'), ('T16-Q20-U17-R:', 'P1'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q20-U19-R:', 'P4'), ('T19-Q100-U50-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P1'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
local,7,21,665209325,False,True,True,21.001131057739258,1.0,1.0,1.0,1.0,0.3675,0.11857142857142858,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q70-U39-R:', 'P3'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q100-U50-R:', 'P2'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P3'), ('T16-Q100-U59-R:', 'P4'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q100-U66-R:', 'P1'), ('T19-Q10-U25-R:', 'P3'), ('T2-Q90-U160-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q70-U39-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q65-U39-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,7,24,827205221,False,True,True,24.003347158432007,1.0,1.0,1.0,1.0,0.3449999999999999,0.16714285714285715,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q70-U39-R:', 'P4'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q50-U41-R:', 'P4'), ('T13-Q65-U39-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q100-U59-R:', 'P4'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q50-U41-R:', 'P2'), ('T19-Q10-U25-R:', 'P2'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P1'), ('T6-Q100-U66-R:', 'P3'), ('T7-Q65-U39-R:', 'P1'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,7,27,295157184,False,True,True,26.998183012008667,1.0,1.0,1.0,1.0,0.3775,0.11428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P3'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q100-U50-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P3'), ('T16-Q100-U59-R:', 'P3'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q100-U66-R:', 'P2'), ('T19-Q65-U39-R:', 'P4'), ('T2-Q90-U160-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P4'), ('T4-Q20-U17-R:', 'P1'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
local,7,30,174708745,False,True,True,30.002081155776978,1.0,1.0,1.0,1.0,0.3849999999999999,0.10142857142857142,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P4'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q20-U19-R:', 'P4'), ('T13-Q65-U39-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q20-U17-R:', 'P3'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q100-U66-R:', 'P1'), ('T19-Q65-U39-R:', 'P3'), ('T2-Q90-U160-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q100-U66-R:', 'P2'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
