method,problem,timeout,seed,known_optimal,all_assigned,feasible,time,utilisation,bandwidth,residency,coresidency,qos,freecycles,solution
minizinc,8,110,,False,True,True,110.038241147995,1.0,1.0,1.0,1.0,0.40476190476190466,0.06714285714285714,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q70-U39-R:', 'P3'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q20-U19-R:', 'P1'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P1'), ('T17-Q100-U59-R:', 'P4'), ('T18-Q1-U1-R:', 'P1'), ('T19-Q100-U66-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q100-U50-R:', 'P1'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q70-U39-R:', 'P3'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q100-U66-R:', 'P4'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
minizinc,8,220,,False,True,True,220.03704714775085,1.0,1.0,1.0,1.0,0.41190476190476183,0.04428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q70-U39-R:', 'P3'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q100-U66-R:', 'P4'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P1'), ('T17-Q70-U39-R:', 'P1'), ('T18-Q1-U1-R:', 'P1'), ('T19-Q100-U66-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P1'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q70-U39-R:', 'P3'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q100-U66-R:', 'P4'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
minizinc,8,330,,False,True,True,330.0386528968811,1.0,1.0,1.0,1.0,0.41190476190476183,0.04428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q70-U39-R:', 'P3'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q100-U66-R:', 'P4'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P1'), ('T17-Q70-U39-R:', 'P1'), ('T18-Q1-U1-R:', 'P1'), ('T19-Q100-U66-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P1'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q70-U39-R:', 'P3'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q100-U66-R:', 'P4'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
minizinc,8,440,,False,True,True,440.03562808036804,1.0,1.0,1.0,1.0,0.41190476190476183,0.04428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q70-U39-R:', 'P3'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q100-U66-R:', 'P4'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P1'), ('T17-Q70-U39-R:', 'P1'), ('T18-Q1-U1-R:', 'P1'), ('T19-Q100-U66-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P1'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q70-U39-R:', 'P3'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q100-U66-R:', 'P4'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
minizinc,8,550,,True,True,True,548.9587488174438,1.0,1.0,1.0,1.0,0.41190476190476183,0.04428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q70-U39-R:', 'P2'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q100-U66-R:', 'P4'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P1'), ('T17-Q70-U39-R:', 'P1'), ('T18-Q1-U1-R:', 'P1'), ('T19-Q100-U66-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P1'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q70-U39-R:', 'P2'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q100-U66-R:', 'P3'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
local,8,110,783528268,False,True,True,109.99265789985657,1.0,1.0,1.0,1.0,0.3452380952380952,0.09,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P3'), ('T11-Q70-U39-R:', 'P3'), ('T12-Q1-U1-R:', 'P3'), ('T13-Q20-U19-R:', 'P1'), ('T14-Q65-U39-R:', 'P3'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P4'), ('T17-Q70-U39-R:', 'P4'), ('T18-Q1-U1-R:', 'P4'), ('T19-Q100-U66-R:', 'P4'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q100-U50-R:', 'P4'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P4'), ('T5-Q70-U39-R:', 'P4'), ('T6-Q1-U1-R:', 'P1'), ('T7-Q100-U66-R:', 'P2'), ('T8-Q10-U25-R:', 'P1'), ('T9-Q1-U16-R:P1', 'P1')]"
local,8,220,-993845628,False,True,True,219.9876148700714,1.0,1.0,1.0,1.0,0.36190476190476184,0.09857142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P4'), ('T11-Q20-U17-R:', 'P1'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q100-U66-R:', 'P1'), ('T14-Q65-U39-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P2'), ('T17-Q100-U59-R:', 'P4'), ('T18-Q1-U1-R:', 'P2'), ('T19-Q100-U66-R:', 'P3'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P2'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P4'), ('T5-Q70-U39-R:', 'P4'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q50-U41-R:', 'P4'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
local,8,330,813819092,False,True,True,329.98070311546326,1.0,1.0,1.0,1.0,0.37857142857142856,0.05714285714285714,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P2'), ('T11-Q20-U17-R:', 'P3'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q20-U19-R:', 'P1'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P2'), ('T17-Q100-U59-R:', 'P3'), ('T18-Q1-U1-R:', 'P2'), ('T19-Q100-U66-R:', 'P4'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P2'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P2'), ('T5-Q70-U39-R:', 'P2'), ('T6-Q1-U1-R:', 'P1'), ('T7-Q100-U66-R:', 'P4'), ('T8-Q100-U50-R:', 'P1'), ('T9-Q1-U16-R:P1', 'P1')]"
local,8,440,545273152,False,True,True,439.96852588653564,1.0,1.0,1.0,1.0,0.3619047619047619,0.04857142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P3'), ('T11-Q70-U39-R:', 'P2'), ('T12-Q1-U1-R:', 'P1'), ('T13-Q50-U41-R:', 'P4'), ('T14-Q65-U39-R:', 'P1'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P1'), ('T17-Q70-U39-R:', 'P2'), ('T18-Q1-U1-R:', 'P4'), ('T19-Q20-U19-R:', 'P1'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q100-U50-R:', 'P4'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q70-U120-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P2'), ('T5-Q70-U39-R:', 'P3'), ('T6-Q1-U1-R:', 'P3'), ('T7-Q100-U66-R:', 'P4'), ('T8-Q65-U39-R:', 'P3'), ('T9-Q1-U16-R:P1', 'P1')]"
local,8,550,810389522,False,True,True,549.9609620571136,1.0,1.0,1.0,1.0,0.37857142857142856,0.06428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P2'), ('T11-Q70-U39-R:', 'P2'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q100-U66-R:', 'P3'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P4'), ('T17-Q100-U59-R:', 'P1'), ('T18-Q1-U1-R:', 'P2'), ('T19-Q20-U19-R:', 'P4'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P2'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P3'), ('T5-Q100-U59-R:', 'P4'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q20-U19-R:', 'P1'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
